calorie,category,img,salt,title,type,url
291kcal,rice,/homecook/search/recipe/img/00004387.jpg,1.1g,ツナトマおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00004387/index.html
327kcal,rice,/homecook/search/recipe/img/00003965.jpg,1.5g,焼きもろこしおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00003965/index.html
373kcal,rice,/homecook/search/recipe/img/00003143.jpg,0.9g,３色ミニおにぎり（園児のお弁当用）,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00003143/index.html
124kcal,rice,/homecook/search/recipe/img/00002947.jpg,0.5g,鶏と卵のラップおにぎり（園児のお弁当用）,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00002947/index.html
241kcal,rice,/homecook/search/recipe/img/00001861.jpg,2.2g,３色おにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00001861/index.html
550kcal,rice,/homecook/search/recipe/img/00003124.jpg,1.8g,五穀米の焼きおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00003124/index.html
433kcal,rice,/homecook/search/recipe/img/00004193.jpg,1.2g,ケチャップおにぎりのハロウィン弁当,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00004193/index.html
309kcal,rice,/homecook/search/recipe/img/00004572_20180627102944214.jpg,1.1g,混ぜごはんでスティックおにぎり（うちのごはんアレンジ）,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00004572/index.html
313kcal,rice,/homecook/search/recipe/img/00004669_20180122114512267.jpg,1.7g,焼きとうもろこしおにぎり（うちのごはんアレンジ）,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00004669/index.html
583kcal,rice,/homecook/search/recipe/img/00006071_20180410103533197.jpg,3.5g,ふわふわ卵のピラフオムライス（洋ごはんつくろアレンジ）,オムライス,http://www.kikkoman.co.jp/homecook/search/recipe/00006071/index.html
868kcal,rice,/homecook/search/recipe/img/00004949.jpg,2.7g,贅沢トマトソースのリコピンリッチオムライス,オムライス,http://www.kikkoman.co.jp/homecook/search/recipe/00004949/index.html
718kcal,rice,/homecook/search/recipe/img/00004244.jpg,2.5g,オムライス（ケチャップハーフ使用）,オムライス,http://www.kikkoman.co.jp/homecook/search/recipe/00004244/index.html
